episode,absolute error
759,13098.587852462377
760,11658.747312517007
761,13927.52888350389
762,5926.105605430295
763,12349.875794411611
764,11829.028146160108
765,12170.09235604919
766,15607.278442800958
767,14053.71331286144
768,6016.205733222077
769,6904.3485238876765
770,12558.85733855634
771,11278.476606196957
772,12287.130330425804
773,14147.514391856415
774,12813.04257651849
775,12759.159980156905
776,12953.99326857254
777,12863.918019494233
778,11761.344819172738
779,14275.375875124751
780,15889.526879552672
781,12350.934718037925
782,12025.229914163188
783,12044.358330987454
784,12129.009278075251
785,7443.808834985977
786,11912.713811063855
787,9566.71179272278
788,9352.360368511769
789,12774.035828481092
790,26745.55885796604
791,11913.977733750233
792,12087.667131359129
793,10874.132665978686
794,9453.240184159842
795,9867.581603870143
796,6175.552085999871
797,13338.417774234009
798,12245.322566874216
799,11353.077610618837
800,13489.774652258751
801,11727.011520945656
802,12402.603268473524
803,12189.108795619886
804,12467.476432113805
805,9867.31136805155
806,12394.348517150283
807,10716.56883324618
808,11830.473442259296
809,9203.55468039028
810,12017.849682806498
811,11556.167744886849
812,11425.467618241652
813,11376.73062248698
814,12435.197755238418
815,10285.683754254687
816,11519.5439112566
817,11739.135265686293
818,11393.2769916268
819,8877.692543884255
820,11908.623504333047
821,12790.473098748384
822,12710.450178705434
823,11697.169391132817
824,9265.417267006398
825,12092.07603776685
826,10842.917774931237
827,11038.927739151552
828,11816.166387281612
829,10390.877142611944
830,11421.280503537591
831,12739.698834879557
832,10984.597737977268
833,10638.855124386837
834,12862.40970440616
835,10609.16135023639
836,10759.557893209536
837,11011.584443745956
838,11078.297643162585
839,12181.031534912328
840,9616.969319057374
841,13718.000612036389
842,11385.879598010895
843,12109.03238571417
844,10933.9679833363
845,11159.284995329175
846,11238.332444438767
847,10992.849569040822
848,10830.56295788992
849,9505.83429521
850,11610.835650252811
851,10420.361228165595
852,11188.833246990076
853,10912.233055211058
854,11482.92630780883
855,10818.83764872727
856,10943.940003116622
857,12031.954290771571
858,7955.594711806923
859,10847.546942514438
860,10703.4077179509
861,12372.51655108773
862,11040.653339391967
863,7326.780880630755
864,11716.455406673183
865,11624.995046970604
866,11411.99362004421
867,10470.892480245308
868,11447.649897992073
869,10445.191156578952
870,10990.958893971854
871,10552.208957214894
872,10539.34909121036
873,6998.738721639163
874,11258.383120194256
875,8422.444355459187
876,10044.103730640472
877,9824.708293727404
878,9959.8922101271
879,10022.952438486553
880,10907.000927009083
881,9799.239734073051
882,11081.731927828105
883,11245.152731445742
884,9275.228880914883
885,7957.966084308522
886,11278.864882013651
887,8117.581641520344
888,11714.11299858594
889,11067.908955093037
890,11495.41680006932
891,11476.466487352878
892,11369.734717219164
893,11988.867725086127
894,7288.937909911849
895,8710.369967839413
896,9218.359115527244
897,10172.913409746434
898,11902.277401570598
899,11028.344500651809
900,11327.100568770687
901,9916.700408182947
902,7602.015394460666
903,11573.808137714732
904,9622.09703240098
905,8713.021024861464
906,11154.830043883769
907,8043.341938561092
908,8121.58994626929
909,7925.958187210427
910,9009.465420369146
911,9472.084817025569
912,7496.406786740071
913,11722.291746082412
914,10291.485605055082
915,10986.449099673076
916,10830.432753440917
917,7119.307360407666
918,10788.620382361752
919,9407.558968454185
920,11364.931526104803
921,9010.936816020512
922,11354.712671020983
923,11535.5394362198
924,12740.540986711694
925,13105.713497678737
926,7674.446447238953
927,9997.337387226353
928,8851.48204318309
929,11245.527336812353
930,7218.884953071765
931,11224.818800833336
932,11020.372143316205
933,11507.916926220516
934,11383.001783368634
935,10350.457623827331
936,10856.982775444229
937,11342.370761180557
938,10327.714261021869
939,11874.249643918243
940,11995.825792160207
941,11258.492179157716
942,10393.00344917678
943,11800.90298868108
944,11373.2918545409
945,11818.804199200336
946,9632.242325362951
947,10621.920042454762
948,10828.134574825715
949,11441.854345041798
950,10384.57569781336
951,12861.4559157893
952,8752.129304889273
953,12059.504618191624
954,11776.971066114176
955,9979.11843326918
956,11343.054505381311
957,10348.590416051844
958,11380.024246568077
959,10699.711235575864
960,9993.56091453729
961,11331.279008979787
962,10448.283066341746
963,11233.75319190515
964,9755.060813997909
965,11529.384410905062
966,7808.610074178091
967,12613.90502481026
968,10975.713587452072
969,11136.506530670298
970,12645.326667994528
971,9232.247555098143
972,11486.930829215216
973,10429.090272508183
974,9791.642110195293
975,10990.788694778428
976,11930.326375364544
977,10939.303764394235
978,10164.888506809828
979,10051.972237349708
980,11160.32932639432
981,10326.0873929712
982,10456.047315002024
983,11104.369128433293
984,11112.590098856386
985,9613.854161406536
986,11932.14720363184
987,12013.43501207998
988,11079.816260917612
989,10535.411091389866
990,13041.539668428408
991,9434.485614185876
992,12012.59014675382
993,10382.693678042282
994,12719.095172175565
995,10491.496757628123
996,10784.945697291918
997,11414.176955762812
998,10329.42031160445
999,9716.49344216079
1000,7543.175747527804
1001,9980.297442728566
1002,10830.978820047596
1003,11257.287752931834
1004,11349.71427744138
1005,10457.450656388237
1006,11288.174537006304
1007,10392.564995940467
1008,11561.290847805329
1009,12817.076296267838
1010,10785.308363732573
1011,11549.29058113866
1012,11099.556648233172
1013,9989.388184561363
1014,10837.41602368768
1015,10321.773021294566
1016,10925.36106810186
1017,9050.56457012197
1018,10885.561440010291
1019,10806.561949930005
1020,10863.024795309591
1021,11856.373404552573
1022,11340.789070963465
1023,11609.248556824916
1024,11503.698662718709
1025,8903.027540344585
1026,11035.076965120825
1027,10364.20760703561
1028,11114.289588042056
1029,15925.794442798238
1030,10929.057013726528
1031,11459.1410460955
1032,10869.642899866869
1033,11995.088309146304
1034,9687.840601816712
