episode,length,step
980,1000,795485
981,1000,796485
982,1000,797485
983,1000,798485
984,1000,799485
985,1000,800485
986,118,800603
987,1000,801603
988,1000,802603
989,1000,803603
990,1000,804603
991,1000,805603
992,109,805712
993,1000,806712
994,1000,807712
995,1000,808712
996,1000,809712
997,1000,810712
998,1000,811712
999,1000,812712
1000,109,812821
1001,83,812904
1002,1000,813904
1003,1000,814904
1004,1000,815904
1005,1000,816904
1006,1000,817904
1007,85,817989
1008,1000,818989
1009,111,819100
1010,1000,820100
1011,85,820185
1012,84,820269
1013,1000,821269
1014,83,821352
1015,1000,822352
1016,84,822436
1017,1000,823436
1018,94,823530
1019,1000,824530
1020,1000,825530
1021,1000,826530
1022,73,826603
1023,1000,827603
1024,802,828405
1025,1000,829405
1026,127,829532
1027,1000,830532
1028,1000,831532
1029,1000,832532
1030,1000,833532
1031,1000,834532
1032,1000,835532
1033,1000,836532
1034,1000,837532
1035,1000,838532
1036,1000,839532
1037,1000,840532
1038,1000,841532
1039,1000,842532
1040,1000,843532
1041,1000,844532
1042,1000,845532
1043,1000,846532
1044,1000,847532
1045,1000,848532
1046,1000,849532
1047,1000,850532
1048,1000,851532
1049,1000,852532
1050,1000,853532
1051,90,853622
1052,1000,854622
1053,1000,855622
1054,1000,856622
1055,1000,857622
1056,1000,858622
1057,1000,859622
1058,1000,860622
1059,1000,861622
1060,1000,862622
1061,1000,863622
1062,1000,864622
1063,1000,865622
1064,1000,866622
1065,1000,867622
1066,1000,868622
1067,1000,869622
1068,1000,870622
1069,1000,871622
1070,1000,872622
1071,1000,873622
1072,1000,874622
1073,1000,875622
1074,1000,876622
1075,1000,877622
1076,1000,878622
1077,1000,879622
1078,1000,880622
1079,1000,881622
1080,1000,882622
1081,1000,883622
1082,1000,884622
1083,1000,885622
1084,1000,886622
1085,1000,887622
1086,1000,888622
1087,1000,889622
1088,1000,890622
1089,1000,891622
1090,1000,892622
1091,1000,893622
1092,1000,894622
1093,1000,895622
1094,1000,896622
1095,1000,897622
1096,1000,898622
1097,1000,899622
1098,1000,900622
1099,1000,901622
1100,1000,902622
1101,1000,903622
1102,1000,904622
1103,1000,905622
1104,1000,906622
1105,1000,907622
1106,1000,908622
1107,1000,909622
1108,1000,910622
1109,1000,911622
1110,1000,912622
1111,1000,913622
1112,1000,914622
1113,1000,915622
1114,1000,916622
1115,1000,917622
1116,1000,918622
1117,1000,919622
1118,403,920025
1119,1000,921025
1120,1000,922025
1121,1000,923025
1122,1000,924025
1123,1000,925025
1124,1000,926025
1125,1000,927025
1126,1000,928025
1127,1000,929025
1128,1000,930025
1129,1000,931025
1130,1000,932025
1131,1000,933025
1132,1000,934025
1133,1000,935025
1134,1000,936025
1135,1000,937025
1136,1000,938025
1137,375,938400
1138,1000,939400
1139,1000,940400
1140,1000,941400
1141,1000,942400
1142,1000,943400
1143,1000,944400
1144,1000,945400
1145,1000,946400
1146,1000,947400
1147,1000,948400
1148,1000,949400
1149,1000,950400
1150,1000,951400
1151,1000,952400
1152,1000,953400
1153,1000,954400
1154,1000,955400
1155,1000,956400
1156,1000,957400
1157,1000,958400
1158,1000,959400
1159,1000,960400
1160,1000,961400
1161,444,961844
1162,1000,962844
1163,1000,963844
1164,1000,964844
1165,1000,965844
1166,1000,966844
1167,1000,967844
1168,1000,968844
1169,1000,969844
1170,1000,970844
1171,1000,971844
1172,1000,972844
1173,1000,973844
1174,1000,974844
1175,1000,975844
1176,1000,976844
1177,1000,977844
1178,1000,978844
1179,1000,979844
1180,1000,980844
1181,1000,981844
1182,1000,982844
1183,1000,983844
1184,1000,984844
1185,1000,985844
1186,1000,986844
1187,1000,987844
1188,1000,988844
1189,1000,989844
1190,1000,990844
1191,1000,991844
1192,108,991952
1193,1000,992952
1194,1000,993952
1195,1000,994952
1196,1000,995952
1197,1000,996952
1198,1000,997952
1199,1000,998952
1200,1000,999952
1201,1000,1000952
1202,130,1001082
1203,113,1001195
1204,1000,1002195
1205,1000,1003195
1206,145,1003340
1207,1000,1004340
1208,1000,1005340
1209,1000,1006340
1210,1000,1007340
1211,1000,1008340
1212,1000,1009340
1213,1000,1010340
1214,1000,1011340
1215,1000,1012340
1216,1000,1013340
1217,89,1013429
1218,1000,1014429
1219,1000,1015429
1220,1000,1016429
1221,120,1016549
1222,1000,1017549
1223,1000,1018549
1224,1000,1019549
1225,1000,1020549
1226,1000,1021549
1227,1000,1022549
1228,1000,1023549
1229,1000,1024549
1230,1000,1025549
1231,1000,1026549
1232,1000,1027549
1233,1000,1028549
1234,1000,1029549
1235,1000,1030549
1236,1000,1031549
1237,1000,1032549
1238,1000,1033549
1239,614,1034163
1240,1000,1035163
1241,1000,1036163
1242,1000,1037163
1243,1000,1038163
1244,1000,1039163
1245,1000,1040163
1246,1000,1041163
1247,105,1041268
1248,1000,1042268
1249,1000,1043268
1250,1000,1044268
1251,1000,1045268
1252,1000,1046268
1253,1000,1047268
1254,1000,1048268
1255,1000,1049268
1256,1000,1050268
1257,1000,1051268
1258,1000,1052268
1259,1000,1053268
1260,1000,1054268
1261,1000,1055268
1262,1000,1056268
1263,1000,1057268
1264,1000,1058268
1265,1000,1059268
1266,1000,1060268
1267,1000,1061268
1268,1000,1062268
1269,79,1062347
1270,1000,1063347
1271,252,1063599
1272,1000,1064599
1273,1000,1065599
1274,1000,1066599
1275,1000,1067599
1276,1000,1068599
1277,1000,1069599
1278,1000,1070599
1279,1000,1071599
1280,1000,1072599
1281,1000,1073599
1282,1000,1074599
1283,1000,1075599
1284,1000,1076599
1285,1000,1077599
1286,1000,1078599
1287,1000,1079599
1288,1000,1080599
1289,93,1080692
1290,120,1080812
1291,1000,1081812
1292,1000,1082812
1293,1000,1083812
1294,1000,1084812
1295,1000,1085812
1296,1000,1086812
1297,1000,1087812
1298,1000,1088812
1299,1000,1089812
1300,1000,1090812
1301,1000,1091812
1302,1000,1092812
1303,1000,1093812
1304,1000,1094812
1305,123,1094935
1306,1000,1095935
1307,1000,1096935
1308,1000,1097935
1309,78,1098013
1310,102,1098115
1311,1000,1099115
1312,1000,1100115
1313,1000,1101115
1314,1000,1102115
1315,1000,1103115
1316,1000,1104115
1317,1000,1105115
1318,1000,1106115
1319,115,1106230
1320,103,1106333
1321,1000,1107333
1322,87,1107420
1323,1000,1108420
1324,1000,1109420
1325,86,1109506
1326,1000,1110506
1327,78,1110584
1328,107,1110691
1329,78,1110769
1330,1000,1111769
1331,1000,1112769
1332,1000,1113769
1333,1000,1114769
1334,1000,1115769
1335,1000,1116769
1336,78,1116847
1337,1000,1117847
1338,1000,1118847
1339,1000,1119847
1340,115,1119962
1341,1000,1120962
1342,1000,1121962
1343,1000,1122962
1344,1000,1123962
1345,1000,1124962
1346,1000,1125962
1347,1000,1126962
1348,1000,1127962
1349,1000,1128962
1350,1000,1129962
1351,1000,1130962
1352,1000,1131962
1353,1000,1132962
1354,116,1133078
1355,1000,1134078
1356,1000,1135078
1357,1000,1136078
1358,1000,1137078
1359,121,1137199
1360,1000,1138199
1361,1000,1139199
1362,1000,1140199
1363,1000,1141199
1364,1000,1142199
1365,1000,1143199
1366,1000,1144199
1367,1000,1145199
1368,1000,1146199
1369,1000,1147199
1370,117,1147316
1371,1000,1148316
1372,1000,1149316
1373,1000,1150316
1374,1000,1151316
1375,1000,1152316
1376,1000,1153316
1377,1000,1154316
1378,1000,1155316
1379,1000,1156316
1380,1000,1157316
1381,1000,1158316
1382,1000,1159316
1383,1000,1160316
1384,1000,1161316
1385,84,1161400
1386,1000,1162400
1387,1000,1163400
1388,1000,1164400
1389,1000,1165400
1390,1000,1166400
1391,1000,1167400
1392,1000,1168400
1393,1000,1169400
1394,1000,1170400
1395,1000,1171400
1396,1000,1172400
1397,1000,1173400
1398,1000,1174400
1399,1000,1175400
1400,180,1175580
1401,1000,1176580
1402,1000,1177580
1403,1000,1178580
1404,1000,1179580
1405,1000,1180580
1406,1000,1181580
1407,1000,1182580
1408,1000,1183580
1409,1000,1184580
1410,1000,1185580
1411,1000,1186580
1412,1000,1187580
1413,103,1187683
1414,1000,1188683
1415,1000,1189683
1416,1000,1190683
1417,1000,1191683
1418,1000,1192683
1419,1000,1193683
1420,1000,1194683
1421,1000,1195683
1422,1000,1196683
1423,1000,1197683
1424,1000,1198683
1425,1000,1199683
1426,1000,1200683
1427,1000,1201683
1428,1000,1202683
1429,1000,1203683
1430,1000,1204683
1431,84,1204767
1432,1000,1205767
1433,1000,1206767
1434,1000,1207767
1435,1000,1208767
1436,384,1209151
1437,1000,1210151
1438,1000,1211151
1439,1000,1212151
1440,1000,1213151
1441,1000,1214151
1442,1000,1215151
1443,1000,1216151
1444,1000,1217151
1445,1000,1218151
