episode,absolute error,step
659,11104.678744753302,498205
660,11229.617379359956,499205
661,10154.260924821325,500205
662,10674.423940969918,501205
663,20158.46296227906,502205
664,11675.351422991049,503205
665,7818.029455459009,504205
666,40242.91042051017,505205
667,10330.98697518971,506205
668,19079.11036819197,507205
669,11911.741003534542,508205
670,10486.512934917717,509205
671,10786.537958258514,509284
672,12177.108830644214,510284
673,16703.70260070105,511284
674,11773.540505531484,512284
675,19099.72993984105,513284
676,27614.23738286726,514284
677,16263.251879527916,515284
678,10196.505842231616,516284
679,10892.860313584924,517284
680,9640.528845360495,518284
681,21285.688432626783,519284
682,10831.802620986422,520284
683,11112.92707349396,521284
684,10423.860884758622,522284
685,6854.645088837614,523284
686,13175.808879583745,524284
687,19276.18151097912,525284
688,11348.73901259214,526284
689,11070.898984485424,527284
690,15086.239191728871,528284
691,12819.55703401462,529284
692,12945.259814350124,530284
693,16395.049127888742,531284
694,11179.086032943664,532284
695,14899.817709355051,533284
696,18007.864433107476,534284
697,14884.728822007726,535284
698,21274.249158482213,536284
699,11568.695808596538,537284
700,16079.537219754671,537708
701,10751.24448289749,538708
702,10462.70283939197,539708
703,14031.951429518724,540708
704,19914.353602993702,541708
705,23339.57379785661,542708
706,13172.839240413825,543708
707,5137.75298179429,543910
708,17409.313185399402,544910
709,13839.850896537382,545910
710,11827.114464717984,546910
711,17225.585722308693,547910
712,17190.96261563808,548910
713,21290.39050080892,549910
714,13184.842360670063,550910
715,11203.123433421042,551910
716,15881.27464600031,552910
717,9991.185293384706,553910
718,10594.508403920465,554910
719,15353.065935755862,555910
720,8956.191636378378,556910
721,14582.336026694906,557910
722,12619.653491091727,558910
723,9784.836332673793,559054
724,10805.557967952283,560054
725,15280.627992993042,561054
726,10079.736456680686,562054
727,14994.29887564896,563054
728,25065.916601683894,564054
729,13185.36217855511,565054
730,9941.313695274892,566054
731,9441.997461792207,567054
732,39825.22407509387,567172
733,10375.203594830711,568172
734,13600.48947807166,569172
735,13353.19255242484,569340
736,12348.500167585928,570340
737,16186.884191223848,571340
738,15087.903159286228,572340
739,8155.4393200888735,572427
740,20503.840928757087,573427
741,9693.127793844302,574427
742,12854.957814878544,575427
743,13143.86670168506,576427
744,7814.379265953527,576512
745,10478.553691444276,577512
746,17849.374672448736,578512
747,31775.4504292374,579512
748,10475.135104416073,580512
749,9686.6263344263,581512
750,9820.358765707786,582512
751,10182.955294097095,583512
752,15444.36078512767,584512
753,9303.403187329222,585512
754,9771.252831587077,586512
755,10946.353609870488,587512
756,10787.920384659932,587616
757,10700.510951064698,588616
758,14854.92755871186,589616
759,14921.02345363456,590616
760,10383.864784110574,591616
761,17939.84970042917,592616
762,14576.976284423208,593616
763,10623.702386899527,594616
764,9439.862367064978,595616
765,11874.37628391617,595718
766,9210.4284486761,596718
767,8983.573283653315,597718
768,16353.135525852367,598718
769,13981.983609054383,599718
770,12894.71411722443,599913
771,13407.644314708774,600913
772,13092.84425853984,601913
773,25750.58462890485,602913
774,14972.813891648795,603913
775,14512.020784490776,604913
776,13638.439362246732,605913
777,11156.65885625986,606913
778,10823.876867232855,607913
779,17631.230592954118,608913
780,10498.189075260256,609103
781,10225.539696878874,610103
782,12431.701879288696,611103
783,10360.15659561896,612103
784,7698.473783770072,613103
785,9801.96895888901,614103
786,7003.290208153074,615103
787,10136.554841399022,616103
788,9389.267990511384,617103
789,9875.554991570178,618103
790,11833.767915951876,619103
791,7771.135018826214,620103
792,11481.39107908234,620264
793,8181.811531765758,621264
794,11346.769646117426,622264
795,10732.024538096748,623264
796,7686.252960608504,624264
797,7028.055109457865,625264
798,11910.733326608735,626264
799,11324.351590419456,627264
800,12022.139159027032,628264
801,9797.53270662559,629264
802,12830.89442207724,630264
803,11005.967251660515,631264
804,11721.48108566933,632264
805,9818.1058577546,633264
806,10714.295709020967,634264
807,18859.510609020537,634471
808,9555.145319457495,635471
809,8596.602381555811,636471
810,10182.498214182124,637471
811,9467.243808034618,638471
812,8774.528686601921,638625
813,9161.930863946043,639625
814,10308.365407960087,640625
815,11474.396142141668,641625
816,11721.118230493152,642625
817,10407.42339345391,643625
818,25475.47215882646,644625
819,13698.901827046006,645625
820,11657.77663321106,646625
821,11325.50411183785,647625
822,9435.429082008694,648625
823,27742.581842757096,649128
824,12719.177634365342,649905
825,15188.617429338565,650905
826,12511.26841430439,651905
827,13678.50780529954,652905
828,15247.904439921778,653905
829,15006.92571621472,654905
830,9783.831362752926,655905
831,9469.828178908105,656905
832,9544.26527472731,657905
833,13091.905129669904,658905
834,13056.610342965598,659905
835,9173.73208633667,660905
836,9455.76910555829,661905
837,11212.840985611116,662905
838,12351.3775790685,663905
839,12857.815462473973,664905
840,11936.401670901309,665905
841,11277.116664618572,666905
842,15153.63107576546,667905
843,13492.911736648324,668905
844,15838.049340736265,669905
845,10650.93471563806,670905
846,12897.968015197148,671905
847,10748.429313305687,672905
848,7892.574806854342,673905
849,8319.082980908233,674905
850,11882.13547187084,675055
851,13707.167878269034,676055
852,15967.792046808216,677055
853,12787.955470362796,678055
854,10214.566518813206,679055
855,10327.722300482872,679187
856,10603.195087787031,680187
857,10290.654540444291,681187
858,10949.57933632692,682187
859,20591.89597893529,683187
860,8837.248496818547,684187
861,9021.697763214435,685187
862,9776.441488179513,685328
863,9816.130177597595,686328
864,10397.609643869751,687328
865,11505.885424573347,688328
866,8468.929578752492,689328
867,13505.772019945874,690328
868,10508.481359680296,691328
869,7910.682386315554,692328
870,10208.390092864864,693328
871,11989.49490077611,694328
872,13892.26015946245,695328
873,19858.153362847865,696328
874,10786.202688012418,697328
875,16984.21118903599,698328
876,10298.678068677504,699328
877,12411.925440404682,700328
