episode,absolute error,step
347,150335.4540267405,262595
348,249777.4206282622,262743
349,1870560.190437128,263580
350,300373.1297640346,263723
351,240840.1957491832,263848
352,99658.2928778432,263923
353,114166.47413481456,264015
354,78707.08800312316,264246
355,84011.68812081596,264332
356,182230.3406411612,264437
357,239603.5534712622,264647
358,303620.3364916985,264801
359,147267.11061008117,264944
360,76862.814258558,265038
361,1031424.5740333044,265559
362,292772.9054557345,265699
363,638536.9616428285,266025
364,133389.07433759668,266094
365,247697.8792666342,266242
366,218233.09177002645,266382
367,313270.763358914,266538
368,116767.32530053734,266959
369,113885.00971071192,267087
370,283345.81102900376,267623
371,841690.3567903162,268020
372,128409.14414251686,268087
373,260605.55745327284,268220
374,266102.6077608507,268404
375,169997.42407552403,268475
376,210765.6056473479,268585
377,155573.35941289016,268834
378,265123.8015920432,269144
379,148855.10783494604,269212
380,265430.8386406164,269404
381,255224.65494481893,269541
382,134416.10504892177,269607
383,126978.79661676024,269676
384,402204.1852655665,269884
385,130692.46693812544,269953
386,206368.19852460368,270028
387,272823.26858756813,270445
388,141591.52611566026,271165
389,91165.67973650718,271321
390,120347.03632246102,271393
391,127637.92176972282,272163
392,283599.1296606057,272426
393,248929.5152690061,272592
394,202134.3201891967,272809
395,229497.68373581723,272995
396,82050.66283687353,273162
397,302126.07397226803,273647
398,138356.86909647813,273719
399,283175.3431139975,273852
400,290314.26727898663,273985
401,541293.3447885892,274218
402,637913.5169928152,274498
403,2567439.058108383,275497
404,364125.0568018253,275627
405,88999.50540457528,275709
406,87073.8133780215,276026
407,226361.4612470425,276477
408,227038.40135991003,276596
409,727490.5499239722,276893
410,313012.87431341613,277023
411,143558.08765771252,277094
412,159769.79663379665,277190
413,167880.98489301038,277258
414,92623.20650384466,277338
415,299641.8880246784,277479
416,301038.38513421494,277635
417,294475.6032044568,277778
418,265134.5378830864,277924
419,279453.03229293134,278089
420,140035.36282563984,278518
421,104084.63857963574,278618
422,235598.2167503576,278792
423,353840.8519174058,278996
424,146022.85768256034,279376
425,102205.93629340424,280375
426,256268.7050802601,280746
427,148391.7167587683,280864
428,339048.01335533743,280995
429,210186.47772225368,281061
430,141030.91030194802,281141
431,116149.5923179733,281222
432,97036.8388374511,281365
433,111304.87520125488,281478
434,282469.57174064463,281647
435,476819.3517063333,281830
436,180921.5304341186,281899
437,112334.80981218528,281975
438,186511.60378426587,282044
439,288313.0456483156,282144
440,358627.16891058,282275
441,99349.98952854988,282414
442,563864.5237837648,282651
443,200618.56069803587,282718
444,147923.7633551136,282812
445,267739.5174702686,282940
446,210290.87261556843,283012
447,351972.1509903338,283214
448,341738.3798601943,283351
449,176343.17542643903,283497
450,320109.8049555468,283700
451,320040.86055814143,283824
452,811644.2667075304,284128
453,222797.47150082764,284199
454,373869.8746662108,284332
455,1141467.5308493853,284743
456,235929.9367797779,284828
457,430297.5562447386,284978
458,223695.51916357368,285045
459,210355.47739556417,285249
460,137736.52874932933,285452
461,179035.22711844151,285670
462,234631.16884515472,285790
463,816800.1977174383,286084
464,185931.82134961625,286161
465,210861.39877030608,286277
466,262086.203462076,287081
467,250435.44141131,287223
468,313403.70813303813,287419
469,1853399.144124656,288062
470,446945.0112567433,288232
471,268355.1371547402,288301
472,245393.95075460352,288375
473,2057296.9563680096,289137
474,467309.6557885356,289280
475,326797.36236194294,289519
476,166163.44811303882,289665
477,298547.0776684306,289799
478,298721.38352091954,289870
479,274158.05531171174,289954
480,228996.19455000176,290036
481,208928.3790398716,290178
482,243858.70123989752,290412
483,268977.17877601506,290501
484,256827.5798115357,290573
485,241327.7310868649,290645
486,296459.0299582505,290822
487,219482.70516706505,290922
488,255174.4284724156,290995
489,265741.52151676425,291068
490,267913.49690818205,291335
491,91835.68671550146,292334
492,156019.24495260554,292574
493,303156.13007676054,293573
494,277167.10685974587,293646
495,271002.3961572392,293723
496,1568546.4748701805,294260
497,286037.394185213,294330
498,271296.06813351734,294413
499,292181.3684976601,294484
